authority_id,canonical_name,modern_place,county_id,n_variants,n_entries,method,needs_review,lat,lon,hide_from_map
338,Crisium-civitas superior,Križevci (sup.),1,1,5,singleton,0,46.0247391,16.5457794,0
339,Crisnychya ad Galgoycza,Rasinja,1,2,2,manual,1,46.1879999,16.7085329,0
340,Crisowlyan,Križovljan,1,4,9,manual,1,46.2644305,16.5559503,0
341,Crysancz,,2,1,3,singleton,0,,,0
342,Crysthesawcz-ad Galgowcz,,1,1,1,singleton,0,,,0
343,Cryznychycha-ad Zenthywan dicata,,1,1,1,singleton,0,,,0
344,Cwlpowcz,,1,1,1,singleton,0,,,0
345,Czargowcz,Poljana,2,1,2,manual,1,46.2700000,16.3180556,0
346,Czargowcz,Poljana,2,1,7,manual,1,46.2700000,16.3180556,0
347,"Czebowcz, Kos",,2,1,1,singleton,0,,,0
348,Czerowycza Zentiwan,Đurđevac,1,2,2,manual,0,46.0410468,17.0678562,0
349,Czerowycza Zenth Iwan ad Zenth Gergerwara,Đurđevac,1,1,1,manual,1,46.0410468,17.0678562,0
350,Czerowycza ad Zenth Gerghwara,Đurđevac,1,1,1,manual,1,46.0410468,17.0678562,0
351,Czerye,Cerje,4,1,7,singleton,0,45.8296604,16.1914690,0
352,Czome,,1,1,1,singleton,0,,,0
353,Czwethkowych,Cvetković,4,4,4,modern,0,45.6507558,15.6470067,0
354,Czyglenycza,Ciglenica,2,1,5,singleton,0,46.3123951,16.3329490,0
355,Demerye,Demerje,4,3,13,modern,0,45.7318815,15.8828849,0
356,Darnowcz,Drenovac,1,2,4,manual,0,45.8265326,15.9960743,0
357,Darnocz cum pertinenciis,Slatinski Drenovac,1,5,5,manual,0,45.5552892,17.7065148,0
358,Dorozlo Bakwa,Klokočevac,1,2,3,manual,0,45.9178685,16.7839294,0
359,Dawch,,1,1,1,singleton,0,,,0
360,Deche,Dišnik,1,1,5,manual,0,45.6076839,16.8758897,0
361,Declyna,Diklenica,1,1,1,manual,0,45.9679929,16.8608972,0
362,Decze,,3,1,3,singleton,0,,,0
363,Dedochay sub Pokwpye,Lijevi Degoj,4,1,2,manual,0,45.4759167,15.9621188,0
364,Dercowcz,Dereza Čazmanska,1,1,1,manual,0,45.7564558,16.5998185,0
365,Derkowcz,Dereza Čazmanska,1,1,2,manual,0,45.7564558,16.5998185,0
366,Derze,Virovitica (imanje Derže),3,2,4,manual,1,45.8331404,17.3853376,0
367,Desnycze,Dišnik,1,1,9,manual,0,45.6076839,16.8758897,0
368,Desowcz,,1,1,1,singleton,0,,,0
369,Deykowcz-de Waska,Vaška,1,1,1,manual,1,45.8154349,17.6662543,0
370,Domagowych,Domagović,4,4,23,modern,0,45.6287181,15.6380048,0
371,Dimikowcz,Gradec,1,1,1,manual,0,45.9229065,16.4895691,0
372,Dimitrowcz,Gradec,1,2,2,manual,0,45.9229065,16.4895691,0
373,Dimytroucz,Dimitrovec,2,2,2,orthographic-exact,0,,,0
374,Districtus Capituli Zagrabiensis,Kaptol,4,2,2,modern,0,45.8146150,15.9784733,0
375,Dobochecz,Tkalec,1,1,1,manual,1,45.9627293,16.4505806,0
376,Dobowcz,Dubovec,1,2,10,orthographic-exact,0,46.0084447,16.2865673,0
377,Dobownyk,Virovitica,3,1,7,manual,1,45.8331404,17.3853376,0
378,Dobowyna,,1,1,1,singleton,0,,,0
379,Dobowyo in Berzewcze,Brezovica kod Virovitice,1,1,1,manual,1,45.8632231,17.5584815,0
380,Dobra Kuchya,Dobra Kuća,1,2,3,manual,0,45.6103079,17.2943775,0
381,Dobrachwcha,Veliki Bastaji,1,1,1,manual,1,45.6454548,17.3261030,0
382,Dobrachwcha cum pertinentiis,Dobra Kuća,1,1,1,manual,1,45.6103079,17.2943775,0
383,Dobrawa,Dubrava Samoborska Zagrebačka Dubrava,4,1,12,manual,0,45.8063140,15.6699200,0
384,Dobrawa ad Lythwuanych,Dubrava Samoborska Zagrebačka Dubrava,4,1,1,manual,1,45.8063140,15.6699200,0
385,Dobrawa villa ad Lythwanych,Dubrava Samoborska Zagrebačka Dubrava,4,1,1,manual,1,45.8063140,15.6699200,0
386,Dobrawycza,,2,1,1,singleton,0,,,0
387,Dobrokychya,Dobra Kuća,1,1,3,manual,0,45.6103079,17.2943775,0
388,Dobrowa Czerzka,,4,1,1,singleton,0,,,0
389,Dobrowych,Dobrouch,1,4,15,manual,1,46.1350000,16.8700000,0
390,Dol,,4,2,5,orthographic-exact,0,,,0
391,Dolyane,Doljani Žumberački,4,7,16,manual,0,45.7164511,15.2914265,0
392,Dolyan ad Belam,Čaglić,1,1,1,manual,1,45.3866531,17.1570441,0
393,Dolyancz,Doljanec,1,1,6,manual,0,45.9908688,16.4493156,0
394,Domankwsowcz,Veliki Grđevac,1,3,4,manual,1,45.7515565,17.0497322,0
395,Dombrensi,Dubrava,1,1,1,manual,1,45.8423033,16.5349328,0
396,Dombro,Dubrava,1,1,8,manual,0,45.8423033,16.5349328,0
397,Dombro-oppidum - Gradecz,Dubrava,1,1,1,manual,0,45.8423033,16.5349328,0
398,Dombro-provincia ad Sanctum Michaelem,Dubrava,1,1,1,manual,1,45.8423033,16.5349328,0
399,Donadowcz,Ivanić-Grad,1,2,3,manual,1,45.7056756,16.3920092,0
400,Dragalen,,1,1,2,singleton,0,,,0
401,Dragalyn ad Belam,Čaglić,1,1,1,manual,1,45.3866531,17.1570441,0
402,Dragalyna,Jazavica,1,1,2,manual,1,45.3189016,17.0584557,0
403,Draganychy,Draganići,4,4,4,modern,0,45.7599553,16.0059758,0
404,Dragatyn,Draganec,1,1,4,manual,1,45.7806315,16.6253194,0
405,Dragonoscz,Dragonožec,4,3,6,modern,0,45.6610681,15.9471656,0
406,Dragowyna,,1,2,5,orthographic-fuzzy,1,,,0
407,Dragowya ad Achynam,Voćin,1,1,1,manual,1,45.616700,17.550000,0
408,Drakcha,Graberje Ivaničko,1,1,1,manual,0,45.7101594,16.4712034,0
409,Draschya,Graberje Ivaničko,1,2,5,manual,0,45.7101594,16.4712034,0
410,Drascha ad Gemenecz,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
411,Drascha ad Gemlech,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
412,Draschyna ad Gemlecz,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
413,Drasowch,Dijakovac,1,4,6,manual,0,45.7006,17.3514,0
414,Drasewcz,Korenovo,1,1,1,manual,0,45.8585850,16.8114639,0
415,Drasimercz,Draganec,1,1,1,manual,0,45.7806315,16.6253194,0
