county,query,lat,lon,display_name,source
2,JAKOPOVEC,46.2456352,16.4116646,"Jakopovec, Općina Jalžabet, Varaždinska županija, Hrvatska",nominatim
2,JALŠEVEC,46.2078577,16.4827167,"Jalševec Svibovečki, Grad Varaždinske Toplice, Varaždinska županija, Hrvatska",nominatim
2,JURKETINEC,46.2829955,16.2184004,"Jurketinec, Općina Maruševec, Varaždinska županija, Hrvatska",nominatim
2,KALNIK,46.1648888,16.5306474,"Kalničko gorje, Koprivničko-križevačka županija, Hrvatska",nominatim
2,KARLOVEC,,,,nominatim
2,KNEGINEC,46.2567690,16.3719611,"Gornji Kneginec, Općina Gornji Kneginec, Varaždinska županija, 42204, Hrvatska",nominatim
2,KOMOR,46.1122725,16.0191713,"Mali Komor, Općina Mače, Krapinsko-zagorska županija, Hrvatska",nominatim
2,KORENJAK,46.2335701,16.3202548,"Korenjak, Sveti Ilija, Općina Sveti Ilija, Varaždinska županija, 42214, Hrvatska",nominatim
2,KOSNICA,,,,nominatim
2,KOSTEL,46.1839785,15.7256223,"Kostel, Grad Pregrada, Krapinsko-zagorska županija, Hrvatska",nominatim
2,KOŠKOVEC,46.2506981,16.1643217,"Koškovec, Općina Maruševec, Varaždinska županija, Hrvatska",nominatim
